problem,success rate, num_turns,q1s, q2s, q3s, q1c, q2c, q3c
001-two-sum.py,1.0,6,1.,0.5,1.,1.,1.,1.
013-roman-to-integer.py,0.5,4,1.,1.,1.,1.,1.,1.
015-3sum.py,1.0,4,1.,1.,0.66666667,1.,1.,1.
019-remove-nth-node-from-end-of-list.py,0.5,3,0,0,0,1.,1.,0.66666667
020-valid-parentheses.py,1.0,6,1.,1.,1.,1.,1.,0.66666667
026-remove-duplicates-from-sorted-array.py,1.0,7,0,0,0,1.,0.57142857,1.
028-implement-strstr.py,1.0,5,1.,1.,1.,0.66666667,0.66666667,0.66666667
033-search-in-rotated-sorted-array.py,0.5,6,1.,1.,0.66666667,0.,0.,0.
034-find-first-and-last-position-of-element-in-sorted-array.py,1.0,7,0.,0.,0.,0.85714286,1.,0.85714286
035-search-insert-position.py,1.0,11,1.,1.,0.5,0.66666667,0.66666667,0.66666667
048-rotate-image.py,1.0,4,0.,0.,0.,1.,1.,0.75
054-spiral-matrix.py,1.0,7,1.,1.,1.,1.,0.83333333,0.5
066-plus-one.py,0.5,5,0.,0.,0.,0.8,0.8,0.8
073-set-matrix-zeroes.py,0.5,4,1.,0.5,1.,1.,1.,1.
075-sort-colors.py,0.0,15,0.73333333,0.93333333,0.8,0.,0.,0.
121-best-time-to-buy-and-sell-stock.py,0.5,7,1.,1.,0.75,1.,1.,0.66666667
139-word-break.py,0.5,19,1.,1.,0.,0.16666667,1.,0.27777778
14-longest-common-prefix.py,0.5,3,0.,0.,0.,1.,0.66666667,1.
1678-goal-parser-interpretation.py,0.5,3,1.,1.,1.,1.,1.,1.
2-add-two-numbers.py,1.0,6,1.,1.,1.,1.,0.6,0.8
23-merge-k-sorted-lists.py,1.0,7,0.5,0.5,1.,1.,0.8,0.8
24-swap-nodes-in-pairs.py,0.5,5,0.,0.,0.,1.,1.,0.6
3-longest-substring-without-repeating-characters.py,1.0,5,1.,1.,1.,1.,0.5,0.5
309-best-time-to-buy-and-sell-stock-with-cooldown.py,0.5,20,0.,0.,0.,1.,1.,0.5
31-next-permutation.py,0.0,6,1.,0.8,1.,1.,1.,1.
344-reverse-string.py,0.5,4,1.,1.,0.66666667,1.,1.,1.
350-intersection-of-two-arrays-ii.py,1.0,5,1.,1.,1.,0.75,1.,1.
38-count-and-say.py,1.0,20,1.,0.90909091,0.72727273,0.88888889,1.,0.66666667
4-median-of-two-sorted-arrays.py,0.0,39,1.,0.83333333,0.83333333,0.96969697,1.,0.09090909
402-remove-k-digits.py,1.0,11,1.,1.,1.,0.85714286,1.,0.85714286
412-fizz-buzz.py,0.5,3,1.,1.,1.,1.,1.,1.
413-arithmetic-slices.py,1.0,6,1.,1.,1.,1.,1.,1.
41_first_missing_positive.py,0.5,4,1.,1.,1.,1.,1.,0.66666667
42-trapping-rain-water.py,0.5,10,1.,1.,1.,1.,0.66666667,1.
429-n-ary-tree-level-order-traversal.py,1.0,4,0.,0.,0.,1.,1.,1.
454-4sum-ii.py,1.0,3,1.,0.5,1.,1.,1.,1.
463-island-perimeter.py,0.5,40,1.,1.,1.,1.,1.,0.24324324
5-longest-palindromic-substring.py,0.5,9,1.,1.,0.75,1.,1.,1.
525-contiguous-array.py,1.0,9,1.,1.,0.75,1.,1.,1.
67-add-binary.py,0.5,16,0.4,1.,0.7,1.,1.,1.
78-subsets.py,0.5,5,1.,1.,1.,1.,0.66666667,1.
84-largest-rectangle-in-histogram.py,0.0,4,0.,0.,0.,0.75,1.,0.75
9-palindrome-number.py,1.0,12,1.,0.8,0.4,1.,1.,0.71428571
011-container-with-most-water.py,1.0,4,1.,1.,1.,1.,1.,1.
45-jump-game-ii.py,0.5,20,0.66666667,1.,1.,0.81818182,1.,0.72727273
53-maximum-subarray.py,1.0,10,0.875,0.75,0.875,1.,1.,1.
55-jump-game.py,0.0,6,0.,0.,0.,1.,1.,0.66666667
56-merge-intervals.py,1.0,19,1.,1.,0.64285714,1.,1.,1.
62-unique-paths.py,0.0,1,0.,0.,0.,1.,1.,1.
91-decode-ways.py,1.0,13,0.16666667,1.,0.41666667,1.,1.,1.
